regime,quantity,M,branch,tau_min,tau_max,k,a_k
low M le 200,L,1,0,0.0,0.4,0,0.31454518
low M le 200,L,1,0,0.0,0.4,1,0.0786459
low M le 200,L,1,0,0.0,0.4,2,0.0022794854
low M le 200,L,1,0,0.0,0.4,3,0.0012280391
low M le 200,L,1,0,0.0,0.4,4,-0.00063044329
low M le 200,L,1,0,0.0,0.4,5,0.00047731244000000006
low M le 200,L,1,0,0.0,0.4,6,-0.00035516185
low M le 200,L,1,0,0.0,0.4,7,0.00021561157999999998
low M le 200,L,1,0,0.0,0.4,8,-0.00017873909
low M le 200,L,1,1,0.4,0.75,0,0.50761231
low M le 200,L,1,1,0.4,0.75,1,0.12291779
low M le 200,L,1,1,0.4,0.75,2,0.013564393
low M le 200,L,1,1,0.4,0.75,3,0.0021982797
low M le 200,L,1,1,0.4,0.75,4,0.00043089292
low M le 200,L,1,1,0.4,0.75,5,7.6015213e-05
low M le 200,L,1,1,0.4,0.75,6,-0.00019681249
low M le 200,L,1,1,0.4,0.75,7,-0.00026355491
low M le 200,L,1,1,0.4,0.75,8,-0.0003504521
low M le 200,L,1,2,0.75,1.0,0,0.8925741
low M le 200,L,1,2,0.75,1.0,1,0.30578998
low M le 200,L,1,2,0.75,1.0,2,0.078359618
low M le 200,L,1,2,0.75,1.0,3,0.027901522
low M le 200,L,1,2,0.75,1.0,4,0.011813056
low M le 200,L,1,2,0.75,1.0,5,0.0039912682
low M le 200,L,1,2,0.75,1.0,6,0.0019646231
low M le 200,L,1,2,0.75,1.0,7,0.0011814136
low M le 200,L,1,2,0.75,1.0,8,-0.0008779298600000001
low M le 200,L,3,0,0.0,0.4,0,2.195362
low M le 200,L,3,0,0.0,0.4,1,0.06317185
low M le 200,L,3,0,0.0,0.4,2,0.0096798693
low M le 200,L,3,0,0.0,0.4,3,-0.0046985823
low M le 200,L,3,0,0.0,0.4,4,0.0052512871
low M le 200,L,3,0,0.0,0.4,5,-0.004158725
low M le 200,L,3,0,0.0,0.4,6,0.0043650085
low M le 200,L,3,0,0.0,0.4,7,-0.0028949216
low M le 200,L,3,0,0.0,0.4,8,0.0029604094
low M le 200,L,3,1,0.4,0.75,0,2.3587978
low M le 200,L,3,1,0.4,0.75,1,0.10097953
low M le 200,L,3,1,0.4,0.75,2,0.0078447309
low M le 200,L,3,1,0.4,0.75,3,0.0007653272300000001
low M le 200,L,3,1,0.4,0.75,4,2.0396203000000005e-05
low M le 200,L,3,1,0.4,0.75,5,-9.840694799999999e-06
low M le 200,L,3,1,0.4,0.75,6,-2.1924943000000002e-05
low M le 200,L,3,1,0.4,0.75,7,6.1877774e-05
